station_id,station_name,lat,lon,altitude_m,source,meta_source,note
552,김화,,,,aws_hourly,manual_or_kma_station_page,
553,죽정,,,,aws_hourly,manual_or_kma_station_page,
554,미시령,,,,aws_hourly,manual_or_kma_station_page,
555,화천,,,,aws_hourly,manual_or_kma_station_page,
556,양구,,,,aws_hourly,manual_or_kma_station_page,
557,기린,,,,aws_hourly,manual_or_kma_station_page,
558,팔봉,,,,aws_hourly,manual_or_kma_station_page,
559,내면,,,,aws_hourly,manual_or_kma_station_page,
560,진부,,,,aws_hourly,manual_or_kma_station_page,
561,청일,,,,aws_hourly,manual_or_kma_station_page,
563,북평,,,,aws_hourly,manual_or_kma_station_page,
566,연곡,,,,aws_hourly,manual_or_kma_station_page,
579,하장,,,,aws_hourly,manual_or_kma_station_page,
580,옥계,,,,aws_hourly,manual_or_kma_station_page,
581,상동,,,,aws_hourly,manual_or_kma_station_page,
582,신림,,,,aws_hourly,manual_or_kma_station_page,
583,안흥,,,,aws_hourly,manual_or_kma_station_page,
585,신남,,,,aws_hourly,manual_or_kma_station_page,
586,북산,,,,aws_hourly,manual_or_kma_station_page,
587,방산,,,,aws_hourly,manual_or_kma_station_page,
588,남산,,,,aws_hourly,manual_or_kma_station_page,
591,치악산,,,,aws_hourly,manual_or_kma_station_page,
592,부론,,,,aws_hourly,manual_or_kma_station_page,
593,양양영덕,,,,aws_hourly,manual_or_kma_station_page,
594,서화,,,,aws_hourly,manual_or_kma_station_page,
595,진부령,,,,aws_hourly,manual_or_kma_station_page,
596,오색,,,,aws_hourly,manual_or_kma_station_page,
597,대화,,,,aws_hourly,manual_or_kma_station_page,
650,양지,,,,aws_hourly,manual_or_kma_station_page,
651,외촌,,,,aws_hourly,manual_or_kma_station_page,
660,면온,,,,aws_hourly,manual_or_kma_station_page,
661,현내,,,,aws_hourly,manual_or_kma_station_page,
670,양양,,,,aws_hourly,manual_or_kma_station_page,
671,속초조양,,,,aws_hourly,manual_or_kma_station_page,
674,사북,,,,aws_hourly,manual_or_kma_station_page,
675,남이섬,,,,aws_hourly,manual_or_kma_station_page,
677,달방댐,,,,aws_hourly,manual_or_kma_station_page,
678,강릉성산,,,,aws_hourly,manual_or_kma_station_page,
679,강릉왕산,,,,aws_hourly,manual_or_kma_station_page,
680,평화,,,,aws_hourly,manual_or_kma_station_page,
681,간동,,,,aws_hourly,manual_or_kma_station_page,
682,임남,,,,aws_hourly,manual_or_kma_station_page,
695,광덕산,,,,aws_hourly,manual_or_kma_station_page,
696,신기,,,,aws_hourly,manual_or_kma_station_page,
874,동송,,,,aws_hourly,manual_or_kma_station_page,
875,설악산,,,,aws_hourly,manual_or_kma_station_page,
876,삼척,,,,aws_hourly,manual_or_kma_station_page,
877,문막,,,,aws_hourly,manual_or_kma_station_page,
878,도계,,,,aws_hourly,manual_or_kma_station_page,
970,철원장흥,,,,aws_hourly,manual_or_kma_station_page,
978,춘천신북,,,,aws_hourly,manual_or_kma_station_page,
