발표시간,지역,발효시각,해당지역,내용
2025-03-04 06:00,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 04일 06시 00분,(1) 대설주의보 발표 : 강원도(태백. 강원중부산지. 강원남부산지),
2025-03-04 10:00,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 04일 10시 00분 / (2) 풍랑주의보 변경 : 2025년 03월 04일 12시 00분 / (3) 풍랑주의보 변경 : 2025년 03월 04일 12시 00분,(1) 대설주의보 발표 : 강원도(영월. 평창평지. 정선평지. 횡성. 원주) / (2) 풍랑주의보 변경 : 동해중부안쪽먼바다 / (3) 풍랑주의보 변경 : 동해중부바깥먼바다,(2) 풍랑주의보 변경 /   o 해제 예고: 7일 새벽(03시~06시) / (3) 풍랑주의보 변경 /   o 해제 예고: 7일 늦은 오후(15시~18시)
2025-03-04 11:00,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 04일 11시 00분,(1) 대설주의보 발표 : 강원도(철원. 화천. 홍천평지. 춘천. 양구평지. 인제평지. 강원북부산지),
2025-03-04 12:00,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 04일 14시 00분,(1) 대설주의보 발표 : 강원도(강릉평지. 동해평지. 삼척평지. 속초평지. 고성평지. 양양평지),
2025-03-04 13:00,강원특별자치도,(1) 대설경보 변경 : 2025년 03월 04일 13시 00분,(1) 대설경보 변경 : 강원도(강원북부산지. 강원중부산지. 강원남부산지),
2025-03-04 16:00,강원특별자치도,(1) 대설주의보 해제 : 2025년 03월 04일 16시 00분,(1) 대설주의보 해제 : 강원도(영월. 평창평지. 정선평지. 횡성. 원주. 철원. 화천. 홍천평지. 춘천. 양구평지. 인제평지),
2025-03-05 04:00,강원특별자치도,(1) 대설주의보 변경 : 2025년 03월 05일 04시 00분,(1) 대설주의보 변경 : 강원도(강원북부산지. 강원중부산지. 강원남부산지),
2025-03-05 10:00,강원특별자치도,(1) 대설주의보 해제 : 2025년 03월 05일 10시 00분,(1) 대설주의보 해제 : 강원도(강릉평지. 동해평지. 태백. 삼척평지. 속초평지. 고성평지. 양양평지. 강원북부산지. 강원중부산지. 강원남부산지),
2025-03-06 00:00,강원특별자치도,(1) 풍랑주의보 해제 : 2025년 03월 06일 01시 00분,(1) 풍랑주의보 해제 : 동해중부앞바다,
2025-03-06 09:00,강원특별자치도,(1) 풍랑주의보 해제 : 2025년 03월 06일 11시 00분,(1) 풍랑주의보 해제 : 동해중부안쪽먼바다,
2025-03-06 14:00,강원특별자치도,(1) 풍랑주의보 해제 : 2025년 03월 06일 16시 00분,(1) 풍랑주의보 해제 : 동해중부바깥먼바다,
2025-03-06 15:50,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 06일 15시 50분,(1) 대설주의보 발표 : 강원도(강원남부산지),
2025-03-06 18:00,강원특별자치도,(1) 대설주의보 해제 : 2025년 03월 06일 18시 00분,(1) 대설주의보 해제 : 강원도(강원남부산지),
2025-03-12 10:00,강원특별자치도,(1) 건조주의보 발표 : 2025년 03월 12일 10시 00분,(1) 건조주의보 발표 : 강원도(강릉평지. 동해평지. 삼척평지. 속초평지. 고성평지. 양양평지),
2025-03-13 00:00,강원특별자치도,(1) 풍랑주의보 발표 : 2025년 03월 13일 02시 00분,(1) 풍랑주의보 발표 : 동해중부바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 13일 늦은 오후(15시~18시)
2025-03-13 10:00,강원특별자치도,(1) 풍랑주의보 해제 : 2025년 03월 13일 12시 00분,(1) 풍랑주의보 해제 : 동해중부바깥먼바다,
2025-03-15 09:00,강원특별자치도,(1) 풍랑주의보 발표 : 2025년 03월 15일 11시 00분,(1) 풍랑주의보 발표 : 동해중부바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 18일 새벽(03시~06시)
2025-03-15 09:30,강원특별자치도,(1) 건조주의보 해제 : 2025년 03월 15일 09시 30분,(1) 건조주의보 해제 : 강원도(강릉평지. 동해평지. 삼척평지. 속초평지. 고성평지. 양양평지),
2025-03-16 03:00,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 16일 03시 00분,(1) 대설주의보 발표 : 강원도(강원북부산지. 강원중부산지),
2025-03-16 06:00,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 16일 06시 00분,(1) 대설주의보 발표 : 강원도(태백. 강원남부산지),
2025-03-16 09:00,강원특별자치도,(1) 풍랑주의보 발표 : 2025년 03월 16일 11시 00분,(1) 풍랑주의보 발표 : 동해중부안쪽먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 17일 밤(21시~24시)
2025-03-16 14:00,강원특별자치도,(1) 풍랑주의보 발표 : 2025년 03월 16일 16시 00분,(1) 풍랑주의보 발표 : 동해중부앞바다,(1) 풍랑주의보 발표 /   o 해제 예고: 17일 늦은 오후(15시~18시)
2025-03-16 16:00,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 16일 16시 00분,(1) 대설주의보 발표 : 강원도(철원. 화천. 양구평지. 인제평지),
2025-03-16 17:00,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 16일 17시 00분,(1) 대설주의보 발표 : 강원도(평창평지. 횡성),
2025-03-16 18:20,강원특별자치도,(1) 대설경보 변경 : 2025년 03월 16일 18시 20분,(1) 대설경보 변경 : 강원도(화천),
2025-03-16 19:00,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 16일 19시 00분,(1) 대설주의보 발표 : 강원도(속초평지. 고성평지. 양양평지),
2025-03-16 19:20,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 16일 19시 20분 / (2) 대설경보 변경 : 2025년 03월 16일 19시 20분,(1) 대설주의보 발표 : 강원도(홍천평지. 춘천) / (2) 대설경보 변경 : 강원도(강원북부산지. 강원중부산지),
2025-03-16 20:30,강원특별자치도,(1) 대설경보 변경 : 2025년 03월 16일 20시 30분,(1) 대설경보 변경 : 강원도(고성평지),
2025-03-16 21:30,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 16일 21시 30분 / (2) 대설경보 변경 : 2025년 03월 16일 21시 30분 / (3) 대설주의보 발표 : 2025년 03월 16일 22시 30분,(1) 대설주의보 발표 : 강원도(강릉평지. 영월. 정선평지) / (2) 대설경보 변경 : 강원도(속초평지. 양양평지) / (3) 대설주의보 발표 : 강원도(동해평지. 삼척평지),
2025-03-16 22:00,강원특별자치도,(1) 풍랑경보 변경 : 2025년 03월 17일 00시 00분,(1) 풍랑경보 변경 : 동해중부바깥먼바다,(1) 풍랑경보 변경 /   o 해제 예고: 18일 새벽(03시~06시)
2025-03-17 00:00,강원특별자치도,(1) 대설주의보 해제 : 2025년 03월 17일 00시 00분 / (2) 대설주의보 변경 : 2025년 03월 17일 00시 00분,(1) 대설주의보 해제 : 강원도(철원) / (2) 대설주의보 변경 : 강원도(화천),
2025-03-17 01:00,강원특별자치도,(1) 대설경보 변경 : 2025년 03월 17일 01시 00분,(1) 대설경보 변경 : 강원도(강릉평지),
2025-03-17 01:30,강원특별자치도,(1) 대설경보 변경 : 2025년 03월 17일 01시 30분,(1) 대설경보 변경 : 강원도(동해평지. 삼척평지),
2025-03-17 02:00,강원특별자치도,(1) 대설경보 변경 : 2025년 03월 17일 02시 00분,(1) 대설경보 변경 : 강원도(강원남부산지),
2025-03-17 02:10,강원특별자치도,(1) 풍랑경보 변경 : 2025년 03월 17일 03시 10분 / (2) 풍랑경보 변경 : 2025년 03월 17일 03시 10분,(1) 풍랑경보 변경 : 동해중부앞바다 / (2) 풍랑경보 변경 : 동해중부안쪽먼바다,(1) 풍랑경보 변경 /   o 해제 예고: 17일 늦은 오후(15시~18시) / (2) 풍랑경보 변경 /   o 해제 예고: 17일 밤(21시~24시)
2025-03-17 03:00,강원특별자치도,(1) 대설주의보 해제 : 2025년 03월 17일 03시 00분,(1) 대설주의보 해제 : 강원도(화천. 춘천),
2025-03-17 04:00,강원특별자치도,(1) 대설주의보 해제 : 2025년 03월 17일 04시 00분,(1) 대설주의보 해제 : 강원도(횡성. 홍천평지. 양구평지),
2025-03-17 05:00,강원특별자치도,(1) 대설경보 변경 : 2025년 03월 17일 05시 00분,(1) 대설경보 변경 : 강원도(태백),
2025-03-17 06:00,강원특별자치도,(1) 대설경보 해제 : 2025년 03월 17일 06시 00분 / (2) 대설주의보 해제 : 2025년 03월 17일 06시 00분,(1) 대설경보 해제 : 강원도(고성평지) / (2) 대설주의보 해제 : 강원도(인제평지),
2025-03-17 07:00,강원특별자치도,(1) 대설주의보 해제 : 2025년 03월 17일 07시 00분 / (2) 대설주의보 변경 : 2025년 03월 17일 07시 00분,(1) 대설주의보 해제 : 강원도(영월. 평창평지. 정선평지) / (2) 대설주의보 변경 : 강원도(강원북부산지),
2025-03-17 09:00,강원특별자치도,(1) 대설경보 해제 : 2025년 03월 17일 09시 00분 / (2) 대설주의보 해제 : 2025년 03월 17일 09시 00분 / (3) 대설주의보 변경 : 2025년 03월 17일 09시 00분,(1) 대설경보 해제 : 강원도(강릉평지. 태백. 속초평지. 양양평지. 강원중부산지. 강원남부산지) / (2) 대설주의보 해제 : 강원도(강원북부산지) / (3) 대설주의보 변경 : 강원도(동해평지. 삼척평지),
2025-03-17 10:00,강원특별자치도,(1) 대설주의보 해제 : 2025년 03월 17일 10시 00분,(1) 대설주의보 해제 : 강원도(동해평지. 삼척평지),
2025-03-17 12:00,강원특별자치도,(1) 풍랑주의보 변경 : 2025년 03월 17일 13시 00분,(1) 풍랑주의보 변경 : 동해중부앞바다,(1) 풍랑주의보 변경 /   o 해제 예고: 17일 밤(21시~24시)
2025-03-17 17:00,강원특별자치도,(1) 풍랑주의보 변경 : 2025년 03월 17일 18시 00분 / (2) 풍랑주의보 변경 : 2025년 03월 17일 18시 00분,(1) 풍랑주의보 변경 : 동해중부안쪽먼바다 / (2) 풍랑주의보 변경 : 동해중부바깥먼바다,(1) 풍랑주의보 변경 /   o 해제 예고: 19일 늦은 오후(15시~18시) / (2) 풍랑주의보 변경 /   o 해제 예고: 19일 밤(21시~24시)
2025-03-17 21:00,강원특별자치도,(1) 풍랑주의보 연장 : 2025년 03월 17일 21시 00분,(1) 풍랑주의보 연장 : 동해중부앞바다,(1) 풍랑주의보 연장 /   o 해제 예고: 19일 늦은 오후(15시~18시)
2025-03-18 00:00,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 18일 00시 00분,(1) 대설주의보 발표 : 강원도(철원. 화천. 춘천),
2025-03-18 02:00,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 18일 02시 00분,(1) 대설주의보 발표 : 강원도(횡성. 원주. 홍천평지),
2025-03-18 03:00,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 18일 03시 00분,(1) 대설주의보 발표 : 강원도(태백. 영월. 평창평지. 정선평지. 양구평지. 인제평지. 강원북부산지. 강원중부산지. 강원남부산지),
2025-03-18 04:00,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 18일 04시 00분,(1) 대설주의보 발표 : 강원도(강릉평지. 속초평지. 고성평지. 양양평지),
2025-03-18 05:15,강원특별자치도,(1) 대설경보 변경 : 2025년 03월 18일 05시 15분,(1) 대설경보 변경 : 강원도(속초평지. 고성평지. 양양평지. 철원. 화천. 춘천. 양구평지. 인제평지. 강원북부산지),
2025-03-18 10:00,강원특별자치도,(1) 대설경보 해제 : 2025년 03월 18일 10시 00분 / (2) 대설주의보 해제 : 2025년 03월 18일 10시 00분 / (3) 대설주의보 변경 : 2025년 03월 18일 10시 00분,(1) 대설경보 해제 : 강원도(춘천) / (2) 대설주의보 해제 : 강원도(횡성. 원주. 홍천평지) / (3) 대설주의보 변경 : 강원도(철원. 화천. 양구평지. 인제평지),
2025-03-18 12:30,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 18일 12시 30분 / (2) 강풍주의보 발표 : 2025년 03월 18일 14시 00분,(1) 대설주의보 발표 : 강원도(동해평지. 삼척평지) / (2) 강풍주의보 발표 : 강원도(강릉평지. 동해평지. 삼척평지),(2) 강풍주의보 발표 /   o 해제 예고: 19일 새벽(03시~06시)
2025-03-18 13:00,강원특별자치도,(1) 대설주의보 해제 : 2025년 03월 18일 13시 00분,(1) 대설주의보 해제 : 강원도(철원. 화천),
2025-03-18 14:00,강원특별자치도,(1) 대설주의보 해제 : 2025년 03월 18일 14시 00분 / (2) 대설주의보 변경 : 2025년 03월 18일 14시 00분,(1) 대설주의보 해제 : 강원도(양구평지) / (2) 대설주의보 변경 : 강원도(속초평지. 고성평지. 양양평지),
2025-03-18 14:50,강원특별자치도,(1) 대설경보 변경 : 2025년 03월 18일 14시 50분,(1) 대설경보 변경 : 강원도(강원중부산지),
2025-03-18 15:00,강원특별자치도,(1) 풍랑경보 변경 : 2025년 03월 18일 17시 00분 / (2) 풍랑경보 변경 : 2025년 03월 18일 17시 00분,(1) 풍랑경보 변경 : 동해중부앞바다. 동해중부안쪽먼바다 / (2) 풍랑경보 변경 : 동해중부바깥먼바다,(1) 풍랑경보 변경 /   o 해제 예고: 19일 늦은 오후(15시~18시) / (2) 풍랑경보 변경 /   o 해제 예고: 19일 밤(21시~24시)
2025-03-18 15:30,강원특별자치도,(1) 대설경보 변경 : 2025년 03월 18일 15시 30분,(1) 대설경보 변경 : 강원도(태백. 강원남부산지),
2025-03-18 16:00,강원특별자치도,(1) 대설주의보 해제 : 2025년 03월 18일 16시 00분,(1) 대설주의보 해제 : 강원도(인제평지),
2025-03-18 17:00,강원특별자치도,(1) 대설주의보 해제 : 2025년 03월 18일 17시 00분,(1) 대설주의보 해제 : 강원도(속초평지. 고성평지. 양양평지),
2025-03-18 18:00,강원특별자치도,(1) 대설주의보 해제 : 2025년 03월 18일 18시 00분,(1) 대설주의보 해제 : 강원도(영월. 평창평지. 정선평지),
2025-03-18 19:40,강원특별자치도,(1) 대설주의보 변경 : 2025년 03월 18일 19시 40분,(1) 대설주의보 변경 : 강원도(강원북부산지),
2025-03-18 21:00,강원특별자치도,(1) 대설주의보 해제 : 2025년 03월 18일 21시 00분,(1) 대설주의보 해제 : 강원도(강원북부산지),
2025-03-18 22:00,강원특별자치도,(1) 강풍주의보 해제 : 2025년 03월 18일 22시 00분 / (2) 대설경보 해제 : 2025년 03월 18일 22시 00분 / (3) 풍랑주의보 변경 : 2025년 03월 19일 00시 00분,(1) 강풍주의보 해제 : 강원도(강릉평지. 동해평지. 삼척평지) / (2) 대설경보 해제 : 강원도(강원중부산지) / (3) 풍랑주의보 변경 : 동해중부앞바다,(3) 풍랑주의보 변경 /   o 해제 예고: 19일 늦은 오후(15시~18시)
2025-03-18 23:00,강원특별자치도,(1) 대설경보 해제 : 2025년 03월 18일 23시 00분 / (2) 대설주의보 해제 : 2025년 03월 18일 23시 00분,(1) 대설경보 해제 : 강원도(태백. 강원남부산지) / (2) 대설주의보 해제 : 강원도(강릉평지. 동해평지),
2025-03-19 00:00,강원특별자치도,(1) 풍랑주의보 변경 : 2025년 03월 19일 02시 00분 / (2) 풍랑주의보 변경 : 2025년 03월 19일 02시 00분,(1) 풍랑주의보 변경 : 동해중부안쪽먼바다 / (2) 풍랑주의보 변경 : 동해중부바깥먼바다,(1) 풍랑주의보 변경 /   o 해제 예고: 19일 늦은 오후(15시~18시) / (2) 풍랑주의보 변경 /   o 해제 예고: 19일 밤(21시~24시)
2025-03-19 11:00,강원특별자치도,(1) 풍랑주의보 해제 : 2025년 03월 19일 12시 00분,(1) 풍랑주의보 해제 : 동해중부앞바다,
2025-03-19 16:00,강원특별자치도,(1) 풍랑주의보 해제 : 2025년 03월 19일 18시 00분,(1) 풍랑주의보 해제 : 동해중부안쪽먼바다,
2025-03-19 22:00,강원특별자치도,(1) 풍랑주의보 해제 : 2025년 03월 20일 00시 00분,(1) 풍랑주의보 해제 : 동해중부바깥먼바다,
2025-03-20 10:00,강원특별자치도,(1) 강풍주의보 발표 : 2025년 03월 20일 10시 00분,(1) 강풍주의보 발표 : 강원도(강릉평지. 동해평지. 태백. 삼척평지. 속초평지. 고성평지. 양양평지. 정선평지. 강원북부산지. 강원중부산지. 강원남부산지),(1) 강풍주의보 발표 /   o 해제 예고: 22일 늦은 오후(15시~18시)
2025-03-20 23:00,강원특별자치도,(1) 풍랑주의보 발표 : 2025년 03월 21일 01시 00분 / (2) 풍랑주의보 발표 : 2025년 03월 21일 01시 00분,(1) 풍랑주의보 발표 : 동해중부앞바다 / (2) 풍랑주의보 발표 : 동해중부안쪽먼바다. 동해중부바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 21일 새벽(03시~06시) / (2) 풍랑주의보 발표 /   o 해제 예고: 22일 늦은 오후(15시~18시)
2025-03-21 06:00,강원특별자치도,(1) 풍랑주의보 해제 : 2025년 03월 21일 07시 00분,(1) 풍랑주의보 해제 : 동해중부앞바다,
2025-03-21 10:00,강원특별자치도,(1) 풍랑주의보 해제 : 2025년 03월 21일 11시 00분,(1) 풍랑주의보 해제 : 동해중부안쪽먼바다,
2025-03-22 09:00,강원특별자치도,(1) 건조주의보 발표 : 2025년 03월 22일 09시 00분,(1) 건조주의보 발표 : 강원도(강릉평지. 동해평지. 삼척평지. 속초평지. 고성평지. 양양평지),
2025-03-22 18:00,강원특별자치도,(1) 강풍주의보 해제 : 2025년 03월 22일 20시 00분 / (2) 풍랑주의보 해제 : 2025년 03월 22일 21시 00분,(1) 강풍주의보 해제 : 강원도(강릉평지. 동해평지. 태백. 삼척평지. 속초평지. 고성평지. 양양평지. 정선평지. 강원북부산지. 강원중부산지. 강원남부산지) / (2) 풍랑주의보 해제 : 동해중부바깥먼바다,
2025-03-23 09:00,강원특별자치도,(1) 건조주의보 발표 : 2025년 03월 23일 09시 00분,(1) 건조주의보 발표 : 강원도(태백. 강원남부산지),
2025-03-24 13:00,강원특별자치도,(1) 풍랑주의보 발표 : 2025년 03월 24일 15시 00분,(1) 풍랑주의보 발표 : 동해중부바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 25일 새벽(03시~06시)
2025-03-24 15:30,강원특별자치도,(1) 강풍주의보 발표 : 2025년 03월 24일 15시 30분,(1) 강풍주의보 발표 : 강원도(강릉평지. 동해평지. 삼척평지. 속초평지. 고성평지. 양양평지. 정선평지. 강원북부산지. 강원중부산지. 강원남부산지),(1) 강풍주의보 발표 /   o 해제 예고: 24일 밤(21시~24시)
2025-03-24 23:00,강원특별자치도,(1) 강풍주의보 해제 : 2025년 03월 25일 00시 00분,(1) 강풍주의보 해제 : 강원도(강릉평지. 동해평지. 삼척평지. 속초평지. 고성평지. 양양평지. 정선평지. 강원북부산지. 강원중부산지. 강원남부산지),
2025-03-25 02:00,강원특별자치도,(1) 풍랑주의보 해제 : 2025년 03월 25일 04시 00분,(1) 풍랑주의보 해제 : 동해중부바깥먼바다,
2025-03-25 09:00,강원특별자치도,(1) 건조주의보 발표 : 2025년 03월 25일 09시 00분,(1) 건조주의보 발표 : 강원도(영월. 정선평지. 원주),
2025-03-25 12:00,강원특별자치도,(1) 강풍주의보 발표 : 2025년 03월 25일 14시 00분,(1) 강풍주의보 발표 : 강원도(강릉평지. 동해평지. 태백. 삼척평지. 속초평지. 고성평지. 양양평지. 영월. 평창평지. 정선평지. 횡성. 원주. 강원북부산지. 강원중부산지. 강원남부산지),(1) 강풍주의보 발표 /   o 해제 예고: 26일 새벽(03시~06시)
2025-03-25 14:40,강원특별자치도,(1) 강풍주의보 발표 : 2025년 03월 25일 14시 40분,(1) 강풍주의보 발표 : 강원도(철원. 화천. 홍천평지. 춘천. 양구평지. 인제평지),(1) 강풍주의보 발표 /   o 해제 예고: 26일 새벽(03시~06시)
2025-03-25 17:00,강원특별자치도,(1) 풍랑주의보 발표 : 2025년 03월 25일 19시 00분 / (2) 풍랑주의보 발표 : 2025년 03월 25일 19시 00분,(1) 풍랑주의보 발표 : 동해중부안쪽먼바다 / (2) 풍랑주의보 발표 : 동해중부바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 26일 새벽(03시~06시) / (2) 풍랑주의보 발표 /   o 해제 예고: 26일 오전(09시~12시)
2025-03-25 18:00,강원특별자치도,(1) 강풍주의보 해제 : 2025년 03월 25일 18시 00분 / (2) 강풍경보 변경 : 2025년 03월 25일 18시 00분 / (3) 풍랑주의보 발표 : 2025년 03월 25일 20시 00분,(1) 강풍주의보 해제 : 강원도(횡성. 원주. 철원. 화천. 홍천평지. 춘천. 양구평지. 인제평지) / (2) 강풍경보 변경 : 강원도(강릉평지. 동해평지. 삼척평지. 정선평지. 강원중부산지. 강원남부산지) / (3) 풍랑주의보 발표 : 동해중부앞바다(강원중부앞바다. 강원남부앞바다),(2) 강풍경보 변경 /   o 해제 예고: 26일 새벽(03시~06시) / (3) 풍랑주의보 발표 /   o 해제 예고: 26일 새벽(03시~06시)
2025-03-25 22:00,강원특별자치도,(1) 강풍주의보 변경 : 2025년 03월 25일 23시 00분,(1) 강풍주의보 변경 : 강원도(강릉평지. 동해평지. 삼척평지. 정선평지. 강원중부산지. 강원남부산지),(1) 강풍주의보 변경 /   o 해제 예고: 26일 새벽(03시~06시)
2025-03-26 01:00,강원특별자치도,(1) 강풍주의보 해제 : 2025년 03월 26일 03시 00분 / (2) 풍랑주의보 해제 : 2025년 03월 26일 03시 00분,(1) 강풍주의보 해제 : 강원도(강릉평지. 동해평지. 태백. 삼척평지. 속초평지. 고성평지. 양양평지. 영월. 평창평지. 정선평지. 강원북부산지. 강원중부산지. 강원남부산지) / (2) 풍랑주의보 해제 : 동해중부앞바다(강원중부앞바다. 강원남부앞바다),
2025-03-26 03:00,강원특별자치도,(1) 풍랑주의보 해제 : 2025년 03월 26일 05시 00분,(1) 풍랑주의보 해제 : 동해중부안쪽먼바다,
2025-03-26 06:00,강원특별자치도,(1) 풍랑주의보 해제 : 2025년 03월 26일 08시 00분,(1) 풍랑주의보 해제 : 동해중부바깥먼바다,
2025-03-27 10:00,강원특별자치도,(1) 건조주의보 해제 : 2025년 03월 27일 10시 00분,(1) 건조주의보 해제 : 강원도(강릉평지. 동해평지. 삼척평지. 속초평지. 고성평지. 양양평지),
2025-03-28 02:00,강원특별자치도,(1) 풍랑주의보 발표 : 2025년 03월 28일 04시 00분,(1) 풍랑주의보 발표 : 동해중부안쪽먼바다. 동해중부바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 29일 새벽(03시~06시)
2025-03-28 07:30,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 28일 07시 30분,(1) 대설주의보 발표 : 강원도(강원북부산지),
2025-03-28 08:30,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 28일 08시 30분,(1) 대설주의보 발표 : 강원도(강원중부산지),
