지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
90,속초,2025-03-11,8.7,3.9,703,15,1123,,,,,,,8.2,160,1656,5.4,160,1658,1.8,1529,160,-.8,19,1045,52.4,6,1016.1,1020.8,105,1015,2358,1018.2,11.8,10.4,1200,2.85,19.46,,,,,,2.1,1.5,7.8,-2.1,,,,,,,,,,3.5,5,,,
90,속초,2025-03-12,12.9,6.4,1,18.4,1520,,,,,,,17.3,290,1829,8.7,270,1835,3.8,3260,290,-1.6,22,540,37.3,5.5,1010.9,1016.6,2343,1009.5,1506,1013,11.8,7.7,1000,2.71,17.82,,,,,,4,3.1,10,2.9,,,,,,,,,,5.1,7.3,,,
90,속초,2025-03-13,9.8,5.6,2205,13.5,1009,,,,,,,12.1,320,450,6.8,270,316,2.3,1993,20,-8.6,15,841,27.6,3.3,1018.7,1023.9,2400,1016.7,1,1020.8,11.9,10.2,1100,2.66,19.2,,,,,,4.9,.4,8.8,1.1,,,,,,,,,,3.5,4.9,,,
90,속초,2025-03-14,8,3.6,452,11.7,1137,,,,,,,8.7,140,1643,6.1,140,1648,2.4,2115,140,-.3,36,236,56.5,6.1,1026.1,1030.4,1014,1023.9,1,1028.3,11.9,9.8,1200,2.84,19.44,,,,,,2.9,1,8.4,-1.1,,,,,,,,,,2.6,3.8,,,
90,속초,2025-03-15,7.4,4.5,18,10.7,1233,,,,,,1.2,11.8,160,1130,7.7,140,1255,3,2614,140,1.8,56,1242,68.1,7,1023,1028.8,920,1020,2352,1025.2,11.9,1.1,1200,2.8,6.61,,,,,,9.5,8,6.6,2.6,,,,,,,,,,1.4,2,,,
90,속초,2025-03-16,2.5,0,2130,7.1,1,,,,,,13.7,14.8,340,2045,5.6,290,2103,2.6,2258,340,1.3,70,1,91.8,6.8,1010.2,1020,1,1008.6,1600,1012.4,12,0,1300,.84,4.9,,,,,,10,7.9,4.5,.2,,,,,,,,,,.6,.8,,,
90,속초,2025-03-17,2.1,-.2,17,6,1635,,,,,,14.4,12.7,360,213,6.5,360,221,2.1,1805,270,-3.9,34,1643,67,4.7,1013.5,1017.3,917,1011.9,1,1015.7,12,5.6,1000,2.56,13.92,,,,,,8.3,7.4,.5,.8,,,,,,,,,,1.6,2.3,,,
90,속초,2025-03-18,.9,-1.5,2330,3.1,1305,,,,,,8.5,14,20,1526,8.5,20,1609,2.9,2489,270,-2.5,56,301,78.4,5.1,1014.3,1022.2,2330,1013.1,818,1016.5,12.1,.6,1000,1.18,4,,,,,,7.5,5.9,.6,.7,,,,,,,,,,.8,1.1,,,
90,속초,2025-03-19,2.9,-2.5,216,7.8,1530,,,,,,,8.6,290,2209,4.8,250,2218,2.4,2043,270,-5.1,28,1521,57,4.2,1019.5,1023.8,930,1019.7,2400,1021.7,12.1,10.9,1200,3.08,21.54,,,,,,1.9,1.4,.7,-1.5,,,,,,,,,,2.9,4.2,,,
90,속초,2025-03-20,10.4,1.8,325,15.4,1430,,,,,,,19.3,320,2059,8.4,270,2242,3.2,2787,250,-4.1,25,1251,37.1,4.5,1011.2,1019.8,16,1008.7,1748,1013.3,12.1,11,1200,3.02,21.77,,,,,,1.1,.5,5.9,-2.6,,,,,,,,,,5.4,7.8,,,
90,속초,2025-03-21,16.4,9.9,314,21.2,1402,,,,,,,20.4,290,1807,9.1,270,1526,4.3,3716,250,-2.2,20,925,28.4,5.3,1004.3,1009.9,15,1001.8,1803,1006.4,12.2,11.1,1200,2.85,20.94,,,,,,2.1,.9,11.2,5.5,,,,,,,,,,7,10,,,
90,속초,2025-03-22,19.4,13.7,322,24.8,1438,,,,,,,19.9,290,1543,9.4,270,1454,4.9,4230,250,-1.7,19,1419,24.4,5.4,1002.5,1006,1013,1001.5,1558,1004.6,12.2,11,1200,2.96,21.43,,,,,,.1,0,13.9,8.2,,,,,,,,,,7.4,10.6,,,
90,속초,2025-03-23,8.8,6.5,533,18.8,132,,,,,,,13.1,290,3,6.8,270,7,2,1738,360,5.8,21,2,82.1,9.2,1008.7,1014.2,945,1005.5,14,1010.8,12.3,9.9,1200,2.92,20.53,,,,,,2.9,2.6,12.7,3.1,,,,,,,,,,2.2,3.1,,,
90,속초,2025-03-24,15.1,6.3,547,24.9,1611,,,,,,0,18.7,290,1309,9.1,270,1401,3.2,2733,270,2.6,17,1619,53,7.5,998.5,1008.1,1,996.4,1526,1000.6,12.3,4.8,1400,2.31,13.9,,,,,,6.6,4.8,12.3,5.6,,,,,,,,,,5.2,7.4,,,
90,속초,2025-03-25,9.1,6.4,2200,17.9,29,,,,,,,14.3,290,2241,8.3,270,2246,2.8,2434,360,4.5,28,28,73.8,8.4,997.3,1003.2,544,990.6,1611,999.4,12.3,6.6,1200,2.5,15.15,,,,,,3.1,.9,10.9,5.2,,,,,,,,,,2,2.9,,,
90,속초,2025-03-26,8.2,5.1,640,12.4,1104,,,,,,.2,8.5,50,1953,4.5,140,1059,2.2,1887,360,5.5,51,121,83.8,9.1,1004.3,1010,933,1001.7,33,1006.4,12.4,3.5,1000,2.33,10.28,,,,,,5.5,5.1,9.5,2.2,,,,,,,,,,1.2,1.8,,,
90,속초,2025-03-27,7.7,5.6,549,15.2,1432,,,,,,4.6,8.6,360,813,4.2,360,814,1.9,1639,340,5.2,55,1440,85.1,8.9,1000.4,1008.4,2330,999.5,538,1002.5,12.4,3.1,1400,2.11,10.1,,,,,,7.6,4.3,10.5,4.3,,,,,,,,,,1.2,1.8,,,
90,속초,2025-03-28,4.4,1.3,1009,7.5,1,,,,,,17.2,8.1,70,420,5.1,50,444,2.7,2320,90,1.1,41,2352,81,6.8,1011.9,1018.5,2248,1008.1,14,1014.1,12.5,3.9,1300,3.06,10.61,,,,,,6.6,5.5,7.7,-.9,,,,,,,,,,1.7,2.5,,,
90,속초,2025-03-29,4,.2,500,9.3,1141,,,,,,.2,14.5,290,2123,8.5,270,2136,4.3,3697,270,-12.1,13,1837,33.1,2.7,1017.2,1024.4,2341,1016.5,1634,1019.4,12.5,10.2,1100,2.98,19.26,,,,,,1.5,.5,4.3,-3.5,,,,,,,,,,4,5.8,,,
90,속초,2025-03-30,4,-.9,321,7.7,1259,,,,,,,16.9,270,1321,7.1,250,1326,3.3,2867,270,-12.5,16,852,30,2.5,1024,1028.6,919,1023.9,1816,1026.2,12.6,9.9,1000,2.72,19.84,,,,,,2.1,1.1,2.8,-4.6,,,,,,,,,,3.3,4.7,,,
90,속초,2025-03-31,7.2,.8,612,11.2,2339,,,,,,,11.9,160,1503,8.4,140,1510,3.4,2904,140,-4.7,18,2339,43.5,4.5,1021.8,1026.6,114,1020.8,1713,1024,12.6,11.7,1200,3.2,23.41,,,,,,2.1,.1,6.5,-3.2,,,,,,,,,,3.7,5.3,,,
93,북춘천,2025-03-01,2.5,-4.3,454,12,1621,,,,,,,2.8,320,1534,1.8,160,1703,.6,484,230,-2,39,1634,74.5,5.3,1008,1023.9,248,1016.1,1511,1020,11.4,3.8,1100,1.8,8.6,,,,,,5,1.8,1,-6.6,0,-.1,.1,.2,.6,3,5.8,11.5,14.4,1,1.4,,{박무}0430-{박무}{강도0}0600-{박무}{강도1}0900-1130. {박무}2030-{박무}{강도0}2100-{박무}{강도0}2400-,
93,북춘천,2025-03-02,3.5,-1.4,50,11.8,1219,9.25,,,,,4.6,16.5,70,1402,5.1,70,1241,1.7,1471,50,-1.1,38,1210,74.1,5.7,1008,1022.8,2354,1017.7,1340,1020,11.4,0,1200,.86,4.13,2.1,2350,2.1,2350,2.1,9.8,8.3,1.1,-4.4,.4,0,.2,.3,.8,3,5.8,11.3,14.3,1,1.5,9.8,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0845. {비}1445-{비}{강도0}1500-{비}{강도0}1800-{눈}2050-{눈}{강도0}2100-{눈}{강도0}2400- {박무}1750-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도1}2400-,
93,북춘천,2025-03-03,1,-.5,221,2.7,945,7.33,,,,,5.2,14.4,70,1432,6.1,50,1259,3.1,2692,50,-6.7,46,1455,57,3.7,1014.1,1028.4,1802,1021.6,237,1026.3,11.4,3.4,1000,1.68,10.18,7.1,350,9.2,350,7.1,7.9,5.6,-.3,-3.3,-.5,-.1,.2,.4,.8,3,5.8,11.3,14.3,1.7,2.4,,-{눈}-{눈}{강도0}0300-{눈}{강도0}0600-0720. -{박무}-{박무}{강도1}0300-{박무}{강도0}0600-0630.,
93,북춘천,2025-03-04,1.2,-.4,1141,2.6,1750,6.58,,,,,4.1,11.8,50,402,4.7,50,832,2,1689,50,-4.3,48,1,68.1,4.5,1012.5,1028.5,54,1021.4,1839,1024.6,11.5,.6,1400,.81,4.51,5.2,1550,8.8,1550,5.2,9.5,6.1,-.3,-2.5,-.5,-.1,.2,.5,.8,3,5.8,11.3,14.3,.8,1.2,4.1,{눈}1005-{눈}{강도0}1200-{눈}{강도0}1500-{진눈깨비}1540-1640. {박무}1050-{박무}{강도1}1200-{박무}{강도1}1500-1640.,
93,북춘천,2025-03-05,3.3,-.1,2354,7.8,1541,,,,,,,6,340,858,4,340,629,1.6,1421,340,-2.9,41,1617,64.8,4.9,1011.7,1025.2,939,1021.3,1544,1023.7,11.5,6.4,1200,2.27,13.12,,,7.4,1,,7.8,5.5,-.3,-2.8,.1,.1,.3,.5,1,3,5.8,11.3,14.1,1.5,2.1,,,
93,북춘천,2025-03-06,2.6,-4.3,639,9.7,1453,,,,,,,6,270,1324,3.6,230,1521,1,832,340,-4.6,26,1608,64.4,4.4,1014.3,1029,2345,1024.2,1614,1026.4,11.6,10.4,1200,3.08,19.03,,,,,,2.9,2.9,3.9,-6.4,1.7,.5,.4,.7,1.1,3.2,5.8,11.1,14.1,2.3,3.3,,,
93,북춘천,2025-03-07,2.5,-4.8,700,9.5,1548,,,,,,,5.5,200,1331,2.9,200,1338,.8,692,180,-5.1,24,1537,61.8,4.2,1016.2,1031.5,804,1026.1,1558,1028.3,11.6,9.8,1200,2.53,17.12,,,,,,4.8,.9,3.5,-7,2.3,1.9,1.6,1.8,2.2,3.2,5.6,11.1,14.1,2,2.9,,,
93,북춘천,2025-03-08,3.6,-1.4,2355,10.8,1513,,,,,,,7.8,200,1414,4.7,200,1457,1.5,1288,200,-6.7,17,1717,53.9,3.8,1014.5,1029.4,2344,1023.9,1537,1026.5,11.6,9.7,1300,2.69,16.89,,,,,,3.8,1,4.7,-4.6,3.6,3.7,3.5,3.3,3.2,3.5,5.8,11.1,14.1,2.8,3.9,,,
93,북춘천,2025-03-09,3.5,-4.6,608,13,1625,,,,,,,4.9,180,1523,3,200,1357,.9,741,200,-4,27,1634,63.1,4.6,1018.5,1033.6,909,1027.8,1826,1030.6,11.7,10.8,1200,2.84,19.75,,,,,,.1,0,4.7,-6.2,4.1,4.2,4,3.9,3.7,3.9,5.8,11,14,2.5,3.6,,,
93,북춘천,2025-03-10,4.5,-4,628,14.6,1539,,,,,,,8.4,200,1642,5.4,200,1607,1.3,1131,180,-3.9,23,1551,60.6,4.6,1014.9,1031,744,1022.9,1700,1026.9,11.7,10.6,1200,2.82,19.12,,,,,,0,0,4.8,-6,4.6,4.9,4.7,4.5,4.3,4.3,5.9,11,13.8,3,4.3,,,
93,북춘천,2025-03-11,5.7,-3.5,634,16.3,1618,,,,,,,6.9,200,1616,2.1,160,1229,.7,628,160,-3.4,19,1608,58.5,4.8,1009.6,1025.5,634,1016.9,1712,1021.4,11.8,10.5,1200,2.88,19.58,,,,,,2.9,0,6,-5.5,5.4,5.6,5.3,5.1,4.8,4.6,6,10.8,13.8,2.9,4.1,,{박무}0330-{박무}{강도0}0600-{박무}{강도0}0900-0930.,
93,북춘천,2025-03-12,6.3,.2,535,14.6,1311,,,,,,,9.4,230,1245,6.2,200,1403,1.9,1654,200,1,38,1205,72.3,6.6,1005.1,1020.2,2356,1013.5,1518,1016.9,11.8,5.2,1100,2.53,12.74,,,,,,6.3,3.6,6.3,-2,6,6.4,6.3,6,5.5,5,6.1,10.8,13.8,2.1,3,,{박무}2150-{박무}{강도0}2400-,
93,북춘천,2025-03-13,6.4,-1.7,640,16.3,1426,,,,,,,6.9,320,1432,3.7,200,1337,.9,784,340,-6,10,1427,53.4,4.2,1011.1,1026.4,2358,1020.2,1,1023,11.8,10.5,1300,2.94,19.04,,,,,,5.3,0,7.3,-4.7,6.5,6.8,6.5,6.3,5.9,5.5,6.4,10.8,13.8,3.3,4.8,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0645.,
93,북춘천,2025-03-14,8.4,-2.4,703,17.7,1602,,,,,,,6,110,1217,3.9,110,1243,1,835,90,-6.3,13,1353,42.4,3.9,1014.8,1029.7,832,1024.1,1602,1026.6,11.9,10.5,1200,2.88,19.62,,,,,,2.6,0,8.4,-5.4,7.1,7.2,7,6.8,6.3,5.8,6.5,10.8,13.6,4,5.7,,,
93,북춘천,2025-03-15,9.6,5.8,350,15.1,1416,,,,,,,10.5,70,941,5.3,70,944,2,1715,50,-4.3,22,1351,38.8,4.5,1011.2,1026.6,850,1019.5,1836,1022.9,11.9,5.9,1200,2.85,14.8,,,,,,7.9,4.6,10.2,3.7,8.7,8.5,8,7.5,7,6.1,6.6,10.6,13.6,3.1,4.4,2.7,,
93,북춘천,2025-03-16,3.4,.2,2018,7.4,13,12.25,,,,,6.4,9.8,320,2357,4.7,320,1721,1.5,1291,320,-.8,45,1700,75,5.9,1001.9,1019.8,1,1010.6,1649,1013.8,12,2.3,1600,.89,4.84,.7,1955,.7,1955,.7,9.4,8.1,6,-.9,5.8,7.1,7.7,7.7,7.5,6.5,6.9,10.6,13.6,.9,1.3,3.7,{비}0315-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-1230. {박무}0530-{박무}{강도0}0600-{박무}{강도0}0900-1030. {비}1355-1400. {눈}1855-{눈}{강도0}2100-2150. {박무}1910-{박무}{강도0}2100-2338. {연무}2334-{연무}{강도0}2400-,
93,북춘천,2025-03-17,2.3,-2.2,445,7.1,1519,,,,,,,9.4,230,1527,5,230,1649,2.1,1839,250,-8.7,17,1523,48.3,3.3,1004.9,1018.7,836,1014.6,1,1016.8,12,8.5,1100,2.36,17.98,,,.5,1,,8,4.5,6.5,-5.1,4.9,5.9,6.5,6.7,6.8,6.9,7,10.6,13.6,2.4,3.5,2.4,-{연무}-0045. {햇무리}1250-1640.,
93,북춘천,2025-03-18,.8,-1.3,409,5,1457,14.42,,,,,4,8.9,340,1535,4.7,340,1620,1.2,1051,360,-2.6,48,109,79,5.1,1004.6,1023,2313,1013.1,628,1016.6,12.1,3.1,1400,2.11,8.95,4.8,750,4.8,750,5.3,8.4,7,4.9,-2.9,4,5.2,6,6.4,6.5,6.9,7.3,10.6,13.5,1,1.4,1.6,{눈}0155-{눈}{강도0}0300-{눈}{강도0}0600-{눈}{강도0}0900-0945. {눈}1010-{눈}{강도0}1200-1435. {눈}1615-{눈}{강도0}1800-1825.,
93,북춘천,2025-03-19,.8,-5,649,7.1,1502,,,,,,,8.8,200,1357,5.4,230,1542,1.8,1564,20,-8.1,20,1514,59.3,3.5,1011.9,1025.9,909,1021.9,1659,1024.1,12.1,10.2,1200,3.11,21.69,,,,,,.4,.4,4,-7.1,3.8,4.9,5.5,5.7,6,6.9,7.4,10.6,13.3,2.9,4.1,,,
93,북춘천,2025-03-20,5.1,-4.1,303,14.4,1705,,,,,,,9.1,230,1700,5.4,230,1756,1.7,1427,230,-2.8,29,1726,59.9,5.1,1007.2,1024.9,7,1013.6,1701,1019,12.1,6.3,1300,2.83,14.8,,,,,,3.9,3.9,5.5,-6.1,5.2,5.5,5.7,5.8,5.9,6.8,7.5,10.6,13.3,2.5,3.6,,{연무}2345-{연무}{강도0}2400-,
93,북춘천,2025-03-21,11.9,4.8,35,20.4,1600,,,,,,,9.6,230,1551,6.3,250,1554,2.4,2114,200,.3,21,1718,49.6,6.4,1000.2,1015.4,150,1007.2,1632,1011.7,12.2,9.7,1200,2.86,19.98,,,,,,2.9,2.8,11,1,9.2,8.4,7.6,7.2,6.5,6.9,7.6,10.6,13.3,4.3,6.1,,{박무}0024-{박무}{강도0}0300-{박무}{강도0}0600-0840. -{연무}-0029.,
93,북춘천,2025-03-22,12.4,1.7,648,22.7,1509,,,,,,,11,230,1622,7.4,200,1652,2.2,1928,200,-.5,19,1623,46.3,6,998.3,1011.9,153,1006,1519,1009.8,12.2,11.2,1200,2.91,20.6,,,,,,0,0,11.7,-1.5,10.1,9.6,9,8.4,7.6,7,7.6,10.6,13.3,4.7,6.7,,,
93,북춘천,2025-03-23,12.5,1.3,646,24.3,1537,,,,,,,7.3,230,1525,4.8,200,1648,1.2,1023,200,-.3,16,1543,48.3,6.1,998.9,1014.4,828,1007.1,1622,1010.3,12.3,10.6,1200,2.97,20.5,,,,,,2.6,0,12.7,-1.8,10.9,10.4,9.7,9.2,8.3,7.5,7.8,10.6,13.3,4.3,6.2,,,
93,북춘천,2025-03-24,14.8,7.2,554,23.2,1454,,,,,,,10.8,250,1454,6.2,200,1511,2.2,1919,230,3.4,24,1418,50.4,7.8,991.9,1008,1,999.1,1538,1003.1,12.3,8.5,1300,2.68,17.85,,,,,,4.4,1.4,14.2,5.3,12.5,11.8,11,10.3,9.3,7.9,7.9,10.6,13.1,4.4,6.3,,,
93,북춘천,2025-03-25,12.8,7.8,2355,21.5,1510,,,,,,,16,250,1600,9.9,250,1550,2.5,2166,230,3.9,28,1455,58.9,8.2,989.3,1005.1,2356,992,1521,1000.6,12.3,6,1100,1.98,12.54,,,,,,5,2.9,12.8,3.9,12,11.9,11.4,11,10.1,8.3,8.1,10.6,13.1,3.1,4.4,,{박무}0240-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0920. {연무}0915-{연무}{강도0}1200-1350. {황사}1645-{황사}{강도0}1800-{황사}{강도0}2100-2330.,
93,북춘천,2025-03-26,11.8,1.3,641,22.5,1624,,,,,,,4.9,230,1148,3,230,1156,.9,745,20,.2,17,1546,52,6.3,993.7,1010.8,848,1000.3,2203,1005.1,12.4,10.8,1300,2.84,19.74,,,,,,5.6,.5,13.2,-1.8,11.7,11.5,11.1,10.8,10.1,8.8,8.3,10.5,13.1,3.5,5,0,{햇무리}1250-1350. {햇무리}1450-1545.,
93,북춘천,2025-03-27,13.4,9,113,19.5,1528,3.25,,,,,.3,10.6,320,2147,5.9,340,2156,1.4,1173,320,4,24,1957,55.6,8.4,990.3,1007.4,2311,999,546,1001.6,12.4,3.5,1400,1.77,8.18,,,,,,8.9,6.3,13.9,6.4,12.7,12.2,11.7,11.4,10.8,9.1,8.6,10.6,13.1,1.9,2.7,.3,{비}0755-{비}{강도0}0900-0945. {비}2105-2230.,
93,북춘천,2025-03-28,6.7,1.5,2339,12,1529,2.67,,,,,1.1,13.4,270,1703,7,270,1626,2.4,2100,270,-6.2,4,1649,46.6,4.5,1002.3,1020.4,2356,1007.1,1,1014,12.5,6.3,1300,2.9,14.46,,,,,,5.9,4.8,9.4,-3,10.1,10.9,11.2,11.1,10.8,9.5,8.6,10.5,13,3.3,4.8,1.1,{비}0850-{비}{강도0}0900-1130. {박무}1030-{박무}{강도0}1200-1230.,
93,북춘천,2025-03-29,1.1,-5.2,627,6.7,1101,2.08,,,,,.5,15,270,1639,8.5,270,1639,2.6,2269,270,-12.2,9,1655,41.1,2.7,1010.4,1027.1,2358,1019.1,1559,1022.4,12.5,9,1400,2.47,16.29,,,,,,2.5,1.8,5.4,-8,4.9,7,8.5,9.3,9.8,9.6,9,10.5,13,2.8,4,.5,{눈}1145-{눈}{강도0}1200-1350.,
93,북춘천,2025-03-30,.4,-6.6,614,5.4,1135,3.33,,,,,0,10.1,270,1238,5.7,200,1749,2,1756,20,-8.1,21,959,54.6,3.5,1016.3,1030.7,916,1026.3,1748,1028.5,12.5,8.4,1100,2.57,17.56,,,,,,2.4,2.4,4.1,-9.4,4.1,5.8,7,7.6,8.3,9.6,9.1,10.5,12.8,1.9,2.7,0,{눈}1310-1355. {눈}1515-1750.,
93,북춘천,2025-03-31,4.4,-5.5,530,14.3,1445,,,,,,,8.8,230,1503,5.2,250,1511,1.5,1268,230,-6.6,20,1446,50.5,3.8,1014.2,1029.2,442,1021.9,1626,1026.2,12.6,11.4,1200,3.17,23.37,,,,,,3,.4,8.1,-7.9,6.4,7,7.3,7.5,7.6,9.1,9.3,10.6,12.8,3.6,5.2,,,
95,철원,2025-03-01,3.7,-4.8,437,13.5,1552,,,,,,,4.5,230,1433,2.3,290,1458,.6,504,200,-.8,39,1553,76.8,5.8,1000.5,1023.8,211,1015.8,1610,1019.8,11.4,5.2,1100,1.88,9.68,,,,,,5,.3,1.4,-7.4,,,,,,,,,,1.2,1.8,,,
95,철원,2025-03-02,2.4,-2.9,711,10.2,1148,,,,,,14,11.7,360,1424,7.1,20,1424,2.8,2385,20,-.5,40,1116,83.9,5.9,1000.2,1021.4,2021,1017.1,1338,1019.6,11.4,1.3,900,.89,4.65,,,,,,7.5,6.3,.9,-6.5,,,,,,,,,,1,1.5,18.3,,
95,철원,2025-03-03,.8,-1.6,2241,3.6,1307,,,,,,4.3,13.4,90,1121,5.6,90,1407,3.7,3234,20,-5.7,48,1547,62.5,4,1006.1,1027.8,1808,1020.6,36,1025.7,11.4,7.4,1300,2.46,15.65,,,,,,8.6,5.1,.3,-2.3,,,,,,,,,,2,2.8,,,
95,철원,2025-03-04,.3,-1.5,1,1.7,935,,,,,,2.5,9.4,50,909,5.1,20,1702,3.5,3043,20,-4.3,54,849,72.3,4.5,1005.2,1028.3,55,1022,1837,1024.8,11.5,1.3,1600,1.06,5.11,,,,,,9.8,8.3,.2,-2.3,,,,,,,,,,.9,1.2,2.5,,
